ID	location	population	country	
GPNi4	Spain	Zaragoza	Spain	pipiens
GPNi5	Spain	Zaragoza	Spain	molestus
MDA1	Spain	Sevilla	Spain	pipiens
MDA2	Spain	Sevilla	Spain	pipiens
MDA3	Spain	Sevilla	Spain	pipiens
MDA4	Spain	Sevilla	Spain	pipiens
MDA5	Spain	Sevilla	Spain	pipiens
PAR1	France	Paris	France	pipiens
PAR2	France	Paris	France	pipiens
PARb1	France	Paris	France	molestus
PARb2	France	Paris	France	molestus
PARb4	France	Paris	France	molestus
PARb5	France	Paris	France	pipiens
PARb6	France	Paris	France	pipiens
PARb7	France	Paris	France	pipiens
ZBRb1	Belgium	Zeebrugge	Belgium	molestus
ZBRb3	Belgium	Zeebrugge	Belgium	molestus
ZBRb4	Belgium	Zeebrugge	Belgium	molestus
ZBRb5	Belgium	Zeebrugge	Belgium	molestus
