V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,location,population,habitat,sex,cluster_inv1,cluster_inv3,batch,weight
PP1036,-0.0321151796924068,-0.0257048209022684,0.00473498000528565,0.0460231416602972,0.0254518449731033,-0.0772689072095263,0.0581094142690961,-0.0504634260102514,0.141654639553483,0.0520326841807154,0.0500352433136872,0.0401515788240304,0.0520020697046561,0.208767682861593,-0.0641693787041598,0.138396320029954,-0.185509559012652,0.0336909030744699,0.154874990658747,0.196124771799085,-0.156010926619382,-0.200961300528605,-0.132694350240596,0.0496786695870955,-0.0695806012928445,-0.132721969831802,0.13510719474388,-0.0844959610258702,-0.547216348387178,0.0297033250379094,0.051477725674266,0.155027355111884,granjaescuela,huelva,urbano,female,NA,,4,
PP1040,-0.0298627626056762,-0.00493646805126107,0.0258233243732407,0.0297770649559697,0.111388607661762,-0.0831966521470906,-0.102617306099722,-0.0194798800254215,0.146234710812692,-0.00346260013676787,0.189621171122937,-0.017821289842857,0.124572464759687,0.156640744138904,-0.161921108643866,-0.0767824214204351,0.396843315699149,0.273503389707585,-0.232097695623901,0.218719975888147,0.302234889045569,0.0662573541249312,-0.0821796624140606,0.142036940416141,0.11770412792849,0.381053817066017,-0.00669293513431445,-0.160710189851378,-0.0141666178268013,0.219840035195439,0.18635896318028,0.118395687478508,edarmo,huelva,urbano,female,NA,,4,
PP1041,-0.0264348152214575,-0.0466884362172169,0.0204103102682974,0.09486353653321,0.0864573567942384,0.109142147275878,-0.0144727880507791,-0.00135393612994231,0.0838628095809728,0.0188434942422947,-0.0255259037601366,0.00840159920127877,0.0897416324880258,0.0247437268049564,-0.0427583291702786,-0.240568535283956,-0.254037264908019,0.126700645280452,-0.00603316887685338,0.18373953309841,0.127662619497054,-0.185203219728613,-0.0317240664463212,0.090104847054817,0.154450851025351,-0.106510749576877,-0.191192181991493,0.203043259280499,0.0923476390893149,0.0594729989323474,-0.178869980976842,-0.116331793440585,edarmo,huelva,urbano,female,NA,,4,
PP1054,-0.0132234894033136,-0.0140631579098198,4.72347655991773e-05,0.0061736210922194,0.00537942219541919,0.0153745974535158,0.00531738747816097,0.00275623347929135,0.00394961606187852,0.000112082346542443,0.000584465497559353,-0.000192214317430286,0.00214552848722712,0.00313837655299846,-0.00210993036677814,-0.00242720121598719,0.00518243713357844,-0.00202826189853659,-0.00085328721122213,-0.00431724292750519,-0.00117634025287585,0.00304809478878721,0.00125127276996335,0.00329493368422008,-0.0042407330925043,0.00150681847987671,0.000819557984629452,-0.000216666170664313,-0.00390394170670671,-0.00341067248813308,0.000624471400976343,0.00103918587114755,edarmo,huelva,urbano,female,2,2,NA,1
PP1055,-0.0295864834292296,-0.0215406209405806,-0.0389376048589832,-0.0131692432108628,-0.0146416844020346,0.0475343680926344,0.0313025755555414,0.0114784997145357,0.00518704258839037,-0.00160362760818467,0.00290075199573653,0.00293660637109691,-0.000717797341348342,-0.000174388378826457,0.00112670834267303,-0.0272679228430417,0.0139590559978509,-0.00454273501885849,-0.0043129016203251,-0.00406034981489068,0.00861394478323469,0.00670448442555058,-0.00540833314087683,0.00342445763659698,-0.0167670470161213,0.00232198203257097,-0.00386789718181016,0.000578455861106674,-0.00974376220193073,0.00230960459683377,0.00211252527553928,0.00648341341831804,edarmo,huelva,urbano,female,1,1,NA,1
PP1058,-0.0235457018563985,-0.0350297895190311,0.00795370908275704,0.0403917973374057,0.0399157104957158,0.0699222389451804,0.00598792217741475,0.00278955468622699,0.0339095818512972,-0.00184355019959539,-0.0135593251594396,0.00483306874945429,0.0386319966480211,0.0235070507072532,-0.00637775254859301,-0.0972423603918927,-0.11556656125154,0.0188855111678469,-0.0143372182983203,0.0847403359454497,0.0276755871156284,-0.0509051764926263,0.00041926029787258,0.0637088585720816,0.0170527318074018,0.000633870026266269,-0.0236013846584619,0.00318156307554683,0.0449383936379199,-0.0531443503082613,-0.00188223822283,-0.00213365966969189,edarmo,huelva,urbano,female,NA,,4,
PP1059,-0.0248262109525413,-0.0741544621549352,-0.0717441323812192,-0.00502046722929736,-0.00545258045843516,0.100073208700543,-0.0230777652937318,0.00233483120342076,0.0561575430273311,0.0163280041118704,-0.0266035338827019,-0.000460924336939481,0.0542232882090787,0.00711554025936215,-0.0350684769158558,-0.113590066534798,-0.126386056979497,0.0608696643683228,-0.0259071901245229,0.0596046197173278,0.0395123318436413,-0.0572376150015603,-0.0182535541263474,0.0529991267391707,0.0557766628859178,0.0169316549567609,-0.0367726901023401,0.0213944202891497,0.0404461178633492,-0.00827674788678196,0.0313989819655036,0.00157201291561257,edarmo,huelva,urbano,female,NA,,4,
PP1075,0.225830358501364,0.153665864664744,-0.099312869586508,0.0419400942035026,-0.00345528852719064,0.0118972313104304,0.0125903872062062,-0.00143047202698184,-0.00401586469751125,-0.000298760674796872,-0.00843337157860205,0.00425720993710913,0.0154657851275728,0.00325137144079503,-0.00472704542423505,-0.00954016079244319,0.0040392538479366,0.00424309434758403,-0.00399854943663797,0.00522707072648654,0.00309540165155633,-0.00932604002088816,-0.0017044869683838,0.0079006657197425,-0.000353315734317371,-0.0136837422027261,0.00497908079414677,0.00383451020582669,-0.000432230056090985,-0.00676466528451384,0.00523280175702682,-0.0104356539066856,puebla,sevilla,,female,NA,,4,
PP1076,0.216524478245147,0.144605014111727,-0.0964223582535497,0.0372836668511504,-0.00282143385293217,0.011440858899984,0.0109327879897439,-0.0019632673448171,-0.00158190033757987,-0.000610454594013633,-0.010874401918101,0.00731844580663508,0.0132682178212545,0.0039407223734213,-0.00536205606179573,-0.0127456722781057,0.00210142174667026,0.0021608827518705,-0.0040852072278202,0.00659008202214383,0.00685965440549677,-0.00568923788636957,0.00278424617043638,0.0025599582489239,0.00268548699168444,-0.00742458997813719,0.00660496830025047,0.00427065411001729,-0.00507654437904298,-0.00617251135514774,0.00733867113544271,-0.00837627146690163,puebla,sevilla,,female,NA,,4,
PP1077,0.228558499710733,0.151440973782686,-0.0988811564791608,0.0385867236798208,-0.000199553861603034,0.00957741468714986,0.0142517297136853,-0.00511072788760712,-0.00424604124811931,-0.000462190740371574,-0.00544612546273897,0.0058861520952963,0.0186712375622857,0.00953859596089891,-0.00185488390087797,-0.00679578251171675,0.00164697197070385,-0.00144551314261248,-0.00401025634835642,0.00385045202019752,0.00611729385416781,-0.00279334791004002,0.000193072489801663,0.00517067394270038,-0.00144669593074857,-0.00680452603163876,0.00604938554196347,0.00376652779816988,-0.0098258607423447,-0.00474866418721447,0.00612088403391481,8.1441461631953e-05,puebla,sevilla,,female,NA,,4,
PP1090,-0.0131050430822345,-0.028643372998164,0.0112910618755461,0.0520571778599213,0.0581095270689714,0.0159381571560174,-0.0162126650964616,0.00389094835082945,0.0133263503155973,-0.00980324887181134,0.0344057716774355,0.00204386593766907,-0.0227545993780652,-0.0314475449608999,0.0175050598094197,0.00480141915066557,0.000248277961953845,-0.0177444969102181,-0.0116118832896341,-0.030874819423749,-0.0134528954942584,0.0139017709392761,0.00340432004495573,0.0190209459919672,0.0299613735023823,0.0233045921716362,-0.031892637980765,-0.0109026647028229,0.0244632075546318,-0.0117417289451072,-0.00622377736393862,0.065293900488419,palomares,sevilla,urbano,female,2,2,NA,1
PP1091,-0.0349878212527224,-0.0132960473403347,-0.00333468749367303,0.0402861824897895,0.0513896279634632,-0.0268396832369434,-0.00340215076121383,-0.0239409181427688,0.0125820827415341,-0.00664097393352698,-0.0365636010613387,0.000967498682769855,0.0131892479354106,-0.0306095252332615,-0.00261364895853248,-0.0144849867203518,-0.0257169138934315,-0.000975250319600812,-0.00383971106811548,0.00265794337537097,-0.00815815353910063,-0.00604338268661355,0.0160522373500305,-0.00685410066516117,0.0281758830472865,0.0142351533017078,-0.0081964822733528,-0.0160046205934001,0.0295117298434947,0.00776519086540551,0.0209248700525859,0.0365771091803692,palomares,sevilla,urbano,female,2,2,NA,1
